text,intent
Signify Accelerates Innovation and Drives First-Time-Right Using RPA  Go be great.,Case_Study
"Service Line • Finance and Accounting Processes Automated • Balance sheet account reconciliation (RTR) • Purchase-to-pay (PTP) • Credit and collections (C&C) Industry Manufacturing ""Automation and Robotization are fundamentally changing service delivery in finance for the better.""",Case_Study
"— Eric Goessens, Partnership Development Lead, Signify ORGANIZATION PROFILE Signify, formerly Philips Lighting, is the world leader in lighting for professionals, consumers and for the Internet of Things.",Case_Study
"Signify provides the customers with high-quality, energy-efficient lighting products, systems and services.",Case_Study
"With 2018 sales of €6.4 billion the company has 29,000 employees and a presence in more than 70 countries.",Case_Study
Infosys BPM has been providing Finance and Accounting services to Signify since 2007.,Case_Study
"CHALLENGE Signify was looking for ways to streamline and improve the performance of several processes, including balance sheet account reconciliations (RTR), purchase-to-pay (PTP), and credit and collections (C&C).",Case_Study
"Employees had to manually update system tools, reconcile reports, and upload documentation for support.",Case_Study
"These high-touch repetitive processes like reconciliations, cash application, payment validation, and report generation were very labor-intensive.",Case_Study
"120 employees were required to complete these processes, including associates and team leaders who were responsible for performing them daily.",Case_Study
"SOLUTION Infosys, with its deep domain and technical expertise, identified various automation opportunities within Signify, and partnered with Automation Anywhere to automate Signify’s finance functions.",Case_Study
"After piloting its first bot and quickly experiencing success, Infosys leveraged the Automation Anywhere RPA platform to scale the number of bots across multiple processes in its finance function, resulting in improved first-time-right, faster procure-to-pay cycles and reduction in reconciliations preparation lead time.",Case_Study
"Leveraging RPA and analytics tools within that platform, Signify standardized and streamlined its reporting process, giving employees valuable time to review real-time data to make more accurate strategic decisions.",Case_Study
"BENEFITS 60% Reduction in Average handling time (AHT) 50% FTEs freed up for innovative work 100% Visibility into financial operations 100% On-time SLAs STORY DETAILS Signify began their RPA journey in 2017 with a pilot program, wherein Infosys enabled deployment of RPA from Automation Anywhere within the finance domain.",Case_Study
"After achieving quick success, Signify automated many of their front-end finance processes and have reaped significant benefits, including lower costs, faster processes, improved quality and higher job satisfaction.",Case_Study
"For example, software bots now monitor each account daily, so they can keep owners up-to-date on billing.",Case_Study
"If a customer doesn’t respond for seven days after a bill is sent, bots automatically generate a reminder letter using a predefined standard template.",Case_Study
These letters are translated by the bots into appropriate languages so they can be used throughout the world.,Case_Study
"If a dunning letter is required due to late payment of a bill, the bots send one, and then notify a human manager about the delinquent account.",Case_Study
This has substantially enhanced cash flow while freeing up resources to design innovative new sources of lighting.,Case_Study
"THE FUTURE After experiencing automation success, Signify is planning on further using Infosys' expertise to roll out Automation Anywhere RPA, to more of its finance and master data management processes in the near future, to help automate their processes end-to-end.",Case_Study
RPA is expected to dramatically reduce the time and cost of performing basic tasks for both the front and back office.,Case_Study
"""Robotization is changing the way we perform our regular job by giving space for a niche set of activities.""",Case_Study
"— Srinivasan Damodaran, Services Head—Client Operations, Infosys BPM About Infosys BPM Infosys BPM Ltd., the business process management (BPM) subsidiary of Infosys Ltd. (NYSE: INFY), offers integrated end-to-end transformative BPM services to its clients.",Case_Study
Infosys BPM has journeyed through the table-stakes of effectiveness and efficiency with an ever-increasing focus on enhancing stakeholder experience and empathy.,Case_Study
"Infosys BPM enables its clients to navigate their digital journey, operating from 32 delivery centers across 16 countries with more than 38800 people from over 100 nationalities.",Case_Study
"About Automation Anywhere Automation Anywhere empowers people whose ideas, thought and focus make the companies they work for great.",Case_Study
We deliver the world’s most sophisticated Digital Workforce platform making work more human by automating business processes and liberating people.,Case_Study
Automation Anywhere www.automationanywhere.com North America: 1-888-484-3535 x1 | International: 1-408-834-7676 x1 @AutomationAnywh www.linkedin.com/company/automation-anywhere sales@automationanywhere.com Automation Anywhere ©2019 January 2020 ®,Case_Study
"The storyOne of ﬁve major San Diego County government divisions, the Health and Human Services Agency o!ers the community a wide range of health and social programs, including aging and independence services, public health programs, and children’s services.",Case_Study
"To help with the administration of these programs, the agency uses CalWIN, a state-approved program.",Case_Study
"Supporting documents used to qualify every individual for various government assistance programs, like food stamps (the Supplemental Nutrition Program ),Temporary Assistance for Needy Families, Medical, and more were being transferred onto a digital format using EMC Documentum.",Case_Study
An integration challengeDigitizing supporting documents and using CalWIN had introduced a challenge: How to get the two programs to communicate with each other automatically?,Case_Study
"Without this piece of automation, an agent using CalWIN would have to take information from relevant forms, then look for supporting documents in another system, visually and manually verify it, and then provide the information to an applying individual.Computations and Permutations of the veriﬁcation process There was another requirement.",Case_Study
CalWIN supported over 500 di!erent forms.,Case_Study
"Based on the forms the agent was using for each case, certain combinations of ﬁelds needed to be veriﬁed.",Case_Study
"For example, if he was using Form A and Form B then social security and address ﬁelds needed to be veriﬁed in the supporting documents, whereas if he was using Form C and Form B then social security and driver’s license details needed to be veriﬁed.",Case_Study
"These complexities resulted in hundreds of business rules, making process automation imperative.",Case_Study
San Diego County chose Automation Anywhere to automate its extremely complex Health and Human Services processing and veriﬁcation functions.,Case_Study
Working with a legacy application – a non-invasive approach is really the only way Automation Anywhere’s in-house experts sat down to design a process that would serve SDC’s requirements.,Case_Study
